CO,NO,NO2,O3,SO2,PM2.5,PM10,NH3,AQI,Timestamp
5180.36,17.43,159.03,0.04,24.32,391.94,440.94,78.02,5,2022-01-01 00:00:00
5233.76,23.92,154.91,0.02,27.66,373.83,428.41,86.13,5,2022-01-01 01:00:00
5714.42,54.99,141.2,0.0,32.9,368.77,427.06,98.29,5,2022-01-01 02:00:00
7583.62,132.32,138.46,0.04,42.44,403.36,466.76,118.55,5,2022-01-01 03:00:00
10147.09,228.88,148.06,0.55,55.31,468.43,540.2,147.94,5,2022-01-01 04:00:00
12176.51,300.41,161.77,1.77,66.76,533.54,611.83,172.26,5,2022-01-01 05:00:00
12176.51,296.83,167.25,3.62,63.9,542.07,615.7,162.12,5,2022-01-01 06:00:00
2883.91,18.1,87.74,47.21,36.24,200.24,222.18,31.16,5,2022-01-01 07:00:00
2296.45,8.05,69.92,75.1,39.58,184.93,202.92,22.55,5,2022-01-01 08:00:00
2429.96,7.93,76.77,79.39,47.68,197.45,216.14,22.29,5,2022-01-01 09:00:00
3044.13,11.4,100.08,53.64,41.48,221.64,243.12,23.05,5,2022-01-01 10:00:00
3738.4,16.99,120.64,18.6,24.56,254.37,280.06,23.81,5,2022-01-01 11:00:00
4165.65,29.95,120.64,2.08,14.07,279.93,309.37,24.07,5,2022-01-01 12:00:00
4646.3,53.2,111.04,0.01,10.61,293.33,325.1,25.59,5,2022-01-01 13:00:00
4859.92,61.69,104.19,0.0,9.89,292.81,325.05,27.36,5,2022-01-01 14:00:00
4539.49,51.86,95.96,0.0,9.06,273.54,303.9,27.61,5,2022-01-01 15:00:00
4592.9,52.75,89.11,0.0,9.06,267.55,298.85,29.39,5,2022-01-01 16:00:00
5233.76,74.21,82.94,0.0,9.78,295.02,330.97,33.44,5,2022-01-01 17:00:00
5981.45,100.14,78.14,0.0,9.89,332.7,371.91,33.94,5,2022-01-01 18:00:00
6088.26,106.39,77.46,0.0,11.09,344.8,382.61,36.98,5,2022-01-01 19:00:00
6088.26,101.92,85.0,0.0,13.47,352.49,392.62,44.58,5,2022-01-01 20:00:00
6195.07,96.56,94.59,0.0,15.02,368.98,417.48,51.17,5,2022-01-01 21:00:00
5714.42,76.89,97.33,0.0,14.78,356.03,410.57,53.7,5,2022-01-01 22:00:00
4966.74,55.88,93.22,0.0,14.31,327.26,380.86,53.7,5,2022-01-01 23:00:00
4432.68,43.81,87.05,0.0,14.66,304.26,355.07,53.7,5,2022-01-02 00:00:00
3952.03,36.21,81.57,0.0,15.5,273.7,319.38,53.7,5,2022-01-02 01:00:00
4112.24,50.96,77.46,0.0,18.84,259.26,303.07,57.76,5,2022-01-02 02:00:00
5073.55,99.24,75.4,0.1,23.37,267.08,312.75,64.85,5,2022-01-02 03:00:00
6515.5,159.14,74.03,1.34,21.22,296.2,347.46,58.77,5,2022-01-02 04:00:00
7049.56,182.39,76.09,4.2,15.26,306.94,359.12,45.09,5,2022-01-02 05:00:00
6301.88,143.05,86.37,10.1,12.4,276.78,321.05,32.93,5,2022-01-02 06:00:00
1495.36,8.38,35.64,83.68,23.13,91.98,103.43,11.27,5,2022-01-02 07:00:00
1201.63,4.02,23.65,113.01,24.32,94.34,103.93,10.01,5,2022-01-02 08:00:00
1121.52,2.37,19.02,133.04,24.32,103.39,112.41,9.75,5,2022-01-02 09:00:00
1455.31,2.46,24.68,143.05,15.74,147.3,158.78,11.91,5,2022-01-02 10:00:00
1922.61,2.12,37.01,143.05,9.78,205.54,220.52,14.44,5,2022-01-02 11:00:00
2403.26,0.59,51.41,133.04,8.94,250.61,268.18,15.71,5,2022-01-02 12:00:00
3177.64,0.0,79.51,95.84,8.82,299.39,321.16,18.49,5,2022-01-02 13:00:00
3845.21,0.0,101.45,63.66,8.82,349.33,376.7,21.53,5,2022-01-02 14:00:00
4112.24,0.0,102.82,52.21,8.7,387.28,419.53,23.31,5,2022-01-02 15:00:00
4272.46,0.03,102.82,39.7,8.58,407.47,443.43,24.32,5,2022-01-02 16:00:00
4432.68,0.57,108.3,18.78,8.46,414.11,454.25,25.84,5,2022-01-02 17:00:00
4432.68,4.92,105.56,4.07,7.87,391.69,434.14,25.59,5,2022-01-02 18:00:00
4058.84,8.38,93.22,1.13,6.2,342.74,382.84,22.04,5,2022-01-02 19:00:00
3631.59,8.16,83.63,0.98,5.54,293.97,330.8,20.27,5,2022-01-02 20:00:00
3231.05,5.87,74.71,1.41,5.42,252.53,287.49,19.51,5,2022-01-02 21:00:00
2750.4,2.63,63.75,3.53,5.3,207.45,239.14,18.24,5,2022-01-02 22:00:00
2376.56,1.08,54.84,5.99,5.6,174.99,203.66,18.75,5,2022-01-02 23:00:00
2216.34,1.33,51.41,5.59,6.5,158.11,185.39,20.52,5,2022-01-03 00:00:00
2296.45,6.2,52.78,1.45,8.23,148.04,175.8,24.32,5,2022-01-03 01:00:00
3097.53,35.76,55.52,0.02,12.16,158.67,191.81,33.94,5,2022-01-03 02:00:00
4699.71,96.56,65.12,0.05,16.93,185.08,226.64,44.08,5,2022-01-03 03:00:00
6462.1,164.51,76.09,0.72,20.5,220.84,271.27,50.66,5,2022-01-03 04:00:00
7049.56,182.39,81.57,2.62,19.79,231.15,283.93,48.13,5,2022-01-03 05:00:00
5714.42,137.69,85.0,7.06,16.93,187.62,232.04,37.49,5,2022-01-03 06:00:00
2643.59,34.87,76.77,20.38,14.19,90.23,113.48,20.52,5,2022-01-03 07:00:00
2002.72,17.66,68.55,28.25,13.47,77.02,96.99,17.48,5,2022-01-03 08:00:00
1815.8,10.62,63.75,31.47,13.23,73.43,91.28,16.47,5,2022-01-03 09:00:00
1789.09,7.26,63.06,26.11,12.16,72.53,89.21,16.47,5,2022-01-03 10:00:00
1922.61,7.26,69.23,14.31,11.32,78.51,94.95,17.48,5,2022-01-03 11:00:00
2189.64,12.74,75.4,2.84,11.44,87.14,104.29,18.75,5,2022-01-03 12:00:00
2670.29,29.95,77.46,0.04,11.68,103.38,121.21,19.76,5,2022-01-03 13:00:00
2964.02,37.1,81.57,0.0,11.21,124.88,143.84,20.27,5,2022-01-03 14:00:00
3044.13,33.53,82.94,0.01,10.13,146.73,167.07,17.99,5,2022-01-03 15:00:00
3097.53,29.5,81.57,0.01,9.3,162.83,182.69,12.67,5,2022-01-03 16:00:00
3177.64,29.06,76.77,0.01,8.58,171.05,190.43,9.5,5,2022-01-03 17:00:00
3044.13,24.81,70.6,0.03,7.45,163.41,181.62,7.16,5,2022-01-03 18:00:00
2670.29,16.09,65.12,0.11,6.26,139.29,153.88,5.0,5,2022-01-03 19:00:00
2510.07,13.08,62.38,0.11,5.9,121.89,135.2,4.31,5,2022-01-03 20:00:00
2216.34,8.72,58.95,0.36,5.36,97.18,109.2,4.02,5,2022-01-03 21:00:00
1562.12,1.16,44.55,8.58,4.29,60.89,69.99,3.96,5,2022-01-03 22:00:00
1201.63,0.05,31.53,22.71,4.29,45.02,52.95,4.69,4,2022-01-03 23:00:00
1201.63,0.05,31.53,25.03,4.71,47.04,55.67,6.02,4,2022-01-04 00:00:00
1348.5,0.24,39.07,19.31,5.6,53.25,62.93,7.22,5,2022-01-04 01:00:00
1895.9,7.6,58.26,3.31,7.75,68.67,82.19,9.37,5,2022-01-04 02:00:00
2750.4,36.66,65.12,0.03,10.01,83.66,100.9,10.39,5,2022-01-04 03:00:00
3257.75,56.33,66.49,0.29,10.73,86.41,105.74,10.26,5,2022-01-04 04:00:00
3471.37,64.37,66.49,0.98,10.97,84.94,105.43,9.88,5,2022-01-04 05:00:00
3177.64,54.54,65.12,2.44,11.09,72.86,91.73,8.61,5,2022-01-04 06:00:00
1815.8,13.63,59.63,15.02,12.64,37.87,49.29,5.89,4,2022-01-04 07:00:00
1295.09,5.64,47.3,26.46,11.56,25.42,34.97,5.89,4,2022-01-04 08:00:00
988.01,2.88,33.59,38.98,10.25,16.9,24.18,5.7,2,2022-01-04 09:00:00
934.6,2.18,32.22,42.56,11.09,14.6,19.84,5.38,2,2022-01-04 10:00:00
1348.5,4.58,49.35,23.6,10.97,21.55,28.13,6.21,3,2022-01-04 11:00:00
1895.9,12.52,68.55,4.56,11.44,29.14,37.41,6.52,4,2022-01-04 12:00:00
2376.56,29.06,71.29,0.03,11.21,36.0,45.89,6.59,4,2022-01-04 13:00:00
2376.56,32.19,65.8,0.01,10.37,40.53,51.94,6.59,4,2022-01-04 14:00:00
2082.82,22.8,61.01,0.06,9.3,43.53,55.76,6.33,4,2022-01-04 15:00:00
1922.61,17.88,55.52,0.11,7.57,50.76,65.43,6.46,5,2022-01-04 16:00:00
2162.93,24.36,51.41,0.03,7.39,68.13,87.92,8.11,5,2022-01-04 17:00:00
2403.26,30.85,50.04,0.01,7.45,78.71,100.83,8.99,5,2022-01-04 18:00:00
2323.15,29.95,50.04,0.01,6.56,70.02,89.58,6.97,5,2022-01-04 19:00:00
1815.8,15.42,47.98,0.25,5.36,50.89,65.32,4.75,5,2022-01-04 20:00:00
1174.93,1.62,37.7,10.1,4.65,32.5,41.81,3.48,4,2022-01-04 21:00:00
761.03,0.01,20.56,33.62,4.41,20.48,26.83,3.1,3,2022-01-04 22:00:00
634.19,0.0,14.39,43.27,4.47,17.21,22.98,3.23,2,2022-01-04 23:00:00
600.81,0.0,13.54,45.78,4.71,15.99,21.46,3.36,2,2022-01-05 00:00:00
660.9,0.01,16.96,43.27,5.78,16.52,21.71,3.51,2,2022-01-05 01:00:00
1068.12,0.31,36.33,24.68,7.75,26.14,33.47,5.38,4,2022-01-05 02:00:00
1815.8,11.18,58.26,2.41,9.66,40.2,51.03,7.22,4,2022-01-05 03:00:00
2296.45,27.27,59.63,0.49,10.73,47.31,60.23,7.85,4,2022-01-05 04:00:00
2243.04,25.03,58.26,1.68,11.21,46.66,60.16,7.98,4,2022-01-05 05:00:00
1869.2,13.75,55.52,4.65,12.16,38.55,50.66,7.28,4,2022-01-05 06:00:00
1295.09,1.9,48.67,16.99,16.45,24.95,33.1,5.51,3,2022-01-05 07:00:00
1148.22,1.09,45.24,22.17,18.36,21.39,28.2,5.13,3,2022-01-05 08:00:00
1121.52,0.98,45.93,21.82,18.12,19.97,26.14,5.07,2,2022-01-05 09:00:00
1134.87,0.77,48.67,17.7,17.64,19.69,25.57,5.0,2,2022-01-05 10:00:00
1201.63,1.05,52.09,13.41,16.45,20.11,25.76,4.69,3,2022-01-05 11:00:00
1295.09,1.9,56.21,9.03,15.02,20.37,25.61,4.24,3,2022-01-05 12:00:00
1602.17,8.49,62.38,2.37,12.16,24.55,30.78,4.75,3,2022-01-05 13:00:00
2029.42,20.34,64.43,0.1,10.61,35.19,44.03,6.02,4,2022-01-05 14:00:00
2296.45,27.27,62.38,0.01,10.97,46.68,57.97,6.84,4,2022-01-05 15:00:00
2349.85,29.5,58.95,0.01,11.44,55.23,68.04,7.03,5,2022-01-05 16:00:00
2349.85,26.82,56.89,0.01,11.09,61.74,75.94,7.28,5,2022-01-05 17:00:00
2269.74,22.8,54.84,0.02,10.01,62.15,76.71,6.59,5,2022-01-05 18:00:00
2243.04,21.9,52.78,0.02,8.23,58.88,72.27,5.13,5,2022-01-05 19:00:00
2243.04,22.8,49.35,0.01,7.09,59.85,72.77,4.94,5,2022-01-05 20:00:00
2189.64,20.34,45.93,0.01,7.03,63.07,76.23,5.57,5,2022-01-05 21:00:00
2162.93,18.33,43.53,0.01,6.62,68.35,82.55,6.46,5,2022-01-05 22:00:00
2162.93,17.88,40.78,0.01,6.08,74.28,89.41,6.65,5,2022-01-05 23:00:00
2136.23,18.55,37.7,0.01,5.54,77.99,93.82,6.84,5,2022-01-06 00:00:00
2189.64,22.35,34.62,0.01,5.66,81.83,98.59,8.04,5,2022-01-06 01:00:00
2990.72,51.86,34.96,0.0,8.11,110.64,133.92,12.92,5,2022-01-06 02:00:00
4806.52,121.59,40.1,0.01,11.56,161.09,193.68,17.73,5,2022-01-06 03:00:00
6675.72,185.97,47.98,0.13,14.31,215.85,258.22,18.49,5,2022-01-06 04:00:00
7156.37,198.48,54.84,0.47,15.97,230.55,276.65,16.97,5,2022-01-06 05:00:00
5607.6,143.05,62.38,1.52,21.46,172.77,209.56,16.47,5,2022-01-06 06:00:00
2002.72,21.68,60.32,14.13,36.24,52.64,64.63,7.79,5,2022-01-06 07:00:00
1575.47,12.07,50.04,26.82,39.1,39.62,49.05,6.71,4,2022-01-06 08:00:00
1241.68,7.82,39.76,37.55,34.33,29.41,37.45,5.95,4,2022-01-06 09:00:00
2189.64,28.61,61.01,15.02,23.84,49.19,61.88,12.29,4,2022-01-06 10:00:00
4165.65,90.3,78.83,2.08,19.55,94.56,115.98,17.73,5,2022-01-06 11:00:00
6141.66,162.72,90.48,0.18,20.27,137.23,164.71,20.52,5,2022-01-06 12:00:00
8117.68,239.61,102.82,0.0,22.17,184.49,218.95,27.11,5,2022-01-06 13:00:00
9719.85,300.41,106.93,0.0,20.98,239.95,284.18,30.65,5,2022-01-06 14:00:00
9933.47,307.56,101.45,0.0,18.6,279.22,331.84,29.89,5,2022-01-06 15:00:00
