CO,NO,NO2,O3,SO2,PM2.5,PM10,NH3,AQI,Timestamp
3471.37,6.87,101.45,0.61,20.98,316.33,349.86,48.13,5,2024-01-01 00:00:00
3284.45,7.82,91.85,0.61,21.7,310.28,343.37,49.14,5,2024-01-01 01:00:00
3845.21,29.95,89.11,0.03,25.51,315.5,352.96,57.25,5,2024-01-01 02:00:00
5180.36,84.94,91.85,0.09,30.99,328.93,374.3,68.9,5,2024-01-01 03:00:00
6782.53,148.42,101.45,2.01,38.15,348.84,403.18,84.1,5,2024-01-01 04:00:00
7370.0,171.66,111.04,6.44,41.01,349.88,409.17,90.18,5,2024-01-01 05:00:00
6675.72,141.26,120.64,13.77,35.29,319.2,376.51,78.02,5,2024-01-01 06:00:00
2109.53,15.42,56.89,75.1,25.03,145.89,167.96,22.29,5,2024-01-01 07:00:00
1508.71,6.2,34.96,105.86,22.41,125.56,143.51,15.07,5,2024-01-01 08:00:00
1375.2,3.91,29.47,127.32,21.22,129.46,146.56,13.43,5,2024-01-01 09:00:00
2002.72,6.48,54.15,105.86,15.5,171.48,192.96,17.23,5,2024-01-01 10:00:00
3017.43,10.39,95.96,57.22,11.92,236.94,265.34,22.29,5,2024-01-01 11:00:00
4058.84,20.79,132.98,8.94,11.21,292.11,326.04,24.83,5,2024-01-01 12:00:00
5287.17,56.77,141.2,0.01,14.19,341.58,382.0,29.64,5,2024-01-01 13:00:00
6088.26,82.25,142.57,0.0,19.79,383.6,432.23,42.56,5,2024-01-01 14:00:00
6408.69,89.41,143.95,0.0,24.08,417.66,473.91,54.72,5,2024-01-01 15:00:00
6782.53,95.67,150.8,0.0,28.85,446.78,508.85,66.88,5,2024-01-01 16:00:00
7156.37,100.14,156.28,0.0,32.42,462.18,529.6,76.0,5,2024-01-01 17:00:00
7049.56,98.35,157.65,0.0,32.42,455.77,523.89,77.01,5,2024-01-01 18:00:00
6622.31,84.94,154.91,0.0,30.04,426.22,488.67,69.92,5,2024-01-01 19:00:00
5874.63,63.48,150.8,0.0,28.37,394.6,450.09,64.34,5,2024-01-01 20:00:00
5287.17,45.15,143.95,0.0,27.66,372.19,423.11,62.32,5,2024-01-01 21:00:00
4486.08,26.6,130.24,0.02,25.27,339.49,384.47,56.74,5,2024-01-01 22:00:00
3791.81,13.19,115.16,0.2,23.6,315.42,355.89,52.69,5,2024-01-01 23:00:00
3524.78,8.16,106.93,0.43,23.84,310.14,348.52,53.2,5,2024-01-02 00:00:00
3578.19,10.95,102.82,0.27,25.99,309.27,347.73,57.25,5,2024-01-02 01:00:00
4432.68,41.13,104.19,0.0,32.9,334.98,380.37,71.94,5,2024-01-02 02:00:00
6515.5,113.55,116.53,0.01,44.35,391.45,448.34,95.25,5,2024-01-02 03:00:00
8758.54,177.03,141.2,0.44,46.25,457.77,529.85,95.25,5,2024-01-02 04:00:00
9506.23,187.75,149.43,3.35,33.86,481.54,560.92,57.76,5,2024-01-02 05:00:00
8972.17,160.93,156.28,10.64,29.33,466.94,540.74,40.02,5,2024-01-02 06:00:00
4272.46,40.68,113.79,44.7,49.59,272.83,309.67,23.05,5,2024-01-02 07:00:00
3417.97,19.22,104.19,72.24,51.98,257.46,287.16,17.99,5,2024-01-02 08:00:00
3364.56,12.63,105.56,87.26,53.88,273.0,301.62,16.47,5,2024-01-02 09:00:00
3952.03,19.22,123.38,70.81,40.53,303.29,334.15,19.25,5,2024-01-02 10:00:00
5073.55,33.97,161.77,25.39,27.89,348.43,384.71,25.33,5,2024-01-02 11:00:00
6355.29,75.1,180.96,2.21,27.66,385.73,427.02,33.94,5,2024-01-02 12:00:00
8010.86,134.11,194.67,0.01,38.62,427.54,474.99,46.1,5,2024-01-02 13:00:00
9399.41,173.45,208.38,0.0,41.96,475.38,531.1,49.65,5,2024-01-02 14:00:00
10253.91,185.97,211.12,0.0,35.76,521.77,587.62,44.08,5,2024-01-02 15:00:00
10147.09,166.3,200.15,0.0,29.33,541.62,617.6,39.52,5,2024-01-02 16:00:00
9613.04,143.05,183.7,0.0,29.33,553.4,638.69,49.14,5,2024-01-02 17:00:00
9292.6,134.11,169.99,0.0,32.9,559.39,651.25,63.84,5,2024-01-02 18:00:00
8651.73,119.81,160.4,0.0,35.29,540.24,630.41,71.94,5,2024-01-02 19:00:00
7904.05,101.03,146.69,0.0,33.38,517.06,601.07,70.93,5,2024-01-02 20:00:00
7263.18,83.15,132.98,0.0,30.99,499.82,576.85,65.86,5,2024-01-02 21:00:00
6835.94,71.53,128.87,0.0,31.47,495.29,565.5,64.85,5,2024-01-02 22:00:00
6675.72,64.37,128.87,0.0,34.33,493.93,557.8,68.9,5,2024-01-02 23:00:00
6515.5,60.8,127.49,0.0,36.72,495.9,555.11,71.94,5,2024-01-03 00:00:00
6835.94,65.27,134.35,0.0,41.96,518.3,577.22,77.01,5,2024-01-03 01:00:00
8010.86,96.56,146.69,0.0,50.54,575.46,641.19,92.21,5,2024-01-03 02:00:00
10147.09,166.3,163.14,0.01,61.99,646.4,723.07,113.49,5,2024-01-03 03:00:00
11322.02,214.58,161.77,0.3,63.9,664.39,749.27,115.51,5,2024-01-03 04:00:00
11215.21,209.21,152.17,2.19,50.54,651.64,735.53,81.06,5,2024-01-03 05:00:00
10360.72,169.87,160.4,8.23,39.58,646.99,720.41,42.56,5,2024-01-03 06:00:00
4966.74,28.16,120.64,62.23,96.32,496.21,531.67,3.93,5,2024-01-03 07:00:00
4272.46,14.31,106.93,108.72,83.92,476.57,507.32,1.99,5,2024-01-03 08:00:00
4058.84,9.05,98.71,140.19,71.53,471.31,501.13,2.56,5,2024-01-03 09:00:00
4646.3,10.17,122.01,107.29,46.25,482.5,515.28,9.63,5,2024-01-03 10:00:00
