CO,NO,NO2,O3,SO2,PM2.5,PM10,NH3,AQI,Timestamp
4219.06,14.31,135.72,0.09,16.21,307.84,360.85,46.1,5,2025-01-01 00:00:00
3791.81,12.74,115.16,0.13,8.46,286.71,335.26,24.07,5,2025-01-01 01:00:00
4165.65,33.53,101.45,0.01,7.75,281.33,330.99,19.76,5,2025-01-01 02:00:00
5233.76,79.57,102.82,0.1,9.06,293.08,345.83,20.01,5,2025-01-01 03:00:00
6408.69,126.96,109.67,2.19,10.37,311.99,368.42,23.81,5,2025-01-01 04:00:00
6729.13,139.47,113.79,7.6,11.44,313.96,371.79,31.41,5,2025-01-01 05:00:00
6088.26,110.86,122.01,16.81,12.16,296.33,351.48,30.91,5,2025-01-01 06:00:00
2403.26,8.16,73.34,76.53,16.21,182.15,209.28,17.23,5,2025-01-01 07:00:00
2029.42,3.41,48.67,110.15,17.4,195.08,221.13,16.72,5,2025-01-01 08:00:00
2002.72,2.37,44.55,118.73,17.64,198.67,224.67,16.97,5,2025-01-01 09:00:00
2403.26,3.63,61.01,97.27,14.66,214.96,242.71,19.0,5,2025-01-01 10:00:00
2990.72,5.42,87.74,67.23,12.64,244.07,273.58,20.77,5,2025-01-01 11:00:00
3685.0,5.31,126.12,22.89,11.8,267.98,298.11,22.04,5,2025-01-01 12:00:00
5020.14,41.13,149.43,0.12,11.44,293.32,328.08,26.09,5,2025-01-01 13:00:00
6195.07,83.15,153.54,0.0,11.21,328.08,371.89,31.41,5,2025-01-01 14:00:00
6515.5,92.09,150.8,0.0,10.61,367.31,420.43,29.89,5,2025-01-01 15:00:00
6675.72,92.09,149.43,0.0,10.61,400.52,457.83,26.09,5,2025-01-01 16:00:00
6462.1,82.25,146.69,0.0,10.49,399.69,456.42,28.12,5,2025-01-01 17:00:00
5767.82,62.58,139.83,0.0,9.54,360.11,413.06,28.37,5,2025-01-01 18:00:00
4859.92,40.23,128.87,0.0,8.7,314.19,358.78,22.55,5,2025-01-01 19:00:00
4592.9,33.53,123.38,0.0,8.82,291.63,333.4,16.97,5,2025-01-01 20:00:00
4486.08,30.85,122.01,0.0,9.89,264.78,309.34,15.83,5,2025-01-01 21:00:00
3952.03,23.02,111.04,0.01,8.46,224.54,271.15,16.72,5,2025-01-01 22:00:00
3391.27,14.75,95.96,0.07,5.84,197.84,241.36,13.3,5,2025-01-01 23:00:00
2990.72,10.17,84.31,0.19,4.53,186.03,224.48,10.64,5,2025-01-02 00:00:00
2777.1,10.73,71.97,0.27,4.41,179.19,211.97,10.39,5,2025-01-02 01:00:00
3204.35,31.29,63.75,0.02,6.38,191.45,224.49,14.19,5,2025-01-02 02:00:00
4379.27,76.89,63.06,0.06,8.7,221.69,258.8,17.73,5,2025-01-02 03:00:00
5607.6,121.59,67.17,0.82,10.61,263.54,307.0,22.29,5,2025-01-02 04:00:00
6195.07,135.9,72.66,1.94,11.8,287.23,336.19,29.64,5,2025-01-02 05:00:00
5981.45,125.17,80.2,3.13,12.52,280.28,330.81,30.15,5,2025-01-02 06:00:00
2723.69,19.45,67.86,22.71,16.93,141.84,167.98,15.33,5,2025-01-02 07:00:00
2082.82,8.27,58.26,41.48,18.6,100.23,119.67,12.54,5,2025-01-02 08:00:00
1842.5,6.48,55.52,50.78,20.74,79.75,96.54,11.78,5,2025-01-02 09:00:00
2323.15,15.65,73.34,34.33,17.17,81.25,100.2,15.83,5,2025-01-02 10:00:00
3311.16,38.44,95.96,9.12,13.83,100.49,123.95,21.53,5,2025-01-02 11:00:00
4432.68,76.89,104.19,0.96,12.99,125.43,153.23,25.59,5,2025-01-02 12:00:00
5981.45,132.32,111.04,0.0,13.83,161.19,195.77,31.66,5,2025-01-02 13:00:00
7263.18,177.03,123.38,0.0,15.26,207.4,252.23,38.5,5,2025-01-02 14:00:00
8224.49,202.06,132.98,0.0,17.17,255.14,310.24,40.02,5,2025-01-02 15:00:00
9613.04,232.46,145.32,0.0,25.51,313.64,380.52,58.26,5,2025-01-02 16:00:00
10787.96,253.92,159.03,0.0,36.24,367.56,448.54,87.14,5,2025-01-02 17:00:00
11001.59,257.49,167.25,0.0,41.48,382.78,473.04,104.37,5,2025-01-02 18:00:00
10253.91,236.03,165.88,0.0,39.58,356.85,448.01,103.35,5,2025-01-02 19:00:00
9078.98,203.85,156.28,0.0,32.9,316.1,400.71,87.14,5,2025-01-02 20:00:00
7690.43,162.72,142.57,0.0,21.93,273.97,347.35,57.76,5,2025-01-02 21:00:00
5928.04,109.08,124.75,0.0,9.54,219.14,278.31,22.04,5,2025-01-02 22:00:00
